"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
43750,"BE-0001","closed","Froidchapelle Glider Field",50.176388,4.352222,902,"EU","BE","BE-WHT","Froidchapelle","no",,,,,,
43753,"BE-0002","closed","Chimay-Virelles Ulmodrome",50.117778778,4.33055591583,919,"EU","BE","BE-WHT","Chimay","no",,,,,,
43762,"BE-0003","small_airport","Sovet Airfield",50.28666687,5.04027795791,919,"EU","BE","BE-WNA","Ciney","no",,,,,,
301715,"BE-0004","heliport","Zomergem Heliport",51.131389,3.522222,66,"EU","BE","BE-VOV",,"no","EBZM",,,,,
306974,"BE-0005","closed","RAF Castle Camps",52.051389,0.378611,420,"EU","GB","GB-ENG","Cambridgeshire","no",,,,,"http://en.wikipedia.org/wiki/RAF_Castle_Camps",
311689,"BE-0006","small_airport","[Duplicate] Neerpelt ULM",51.211944,5.478611,148,"EU","BE","BE-VLI",,"no","EBNE",,,,,
312154,"BE-0007","closed","Imelda Hospital Helipad",51.01767,4.55819,30,"EU","BE","BE-VAN","Bonheiden","no",,,,,,
323796,"BE-0008","heliport","Brecht/Vochten Heliport",51.332,4.62466,87,"EU","BE","BE-VAN","Brecht","no","EBBV",,,,,
323798,"BE-0009","closed","Jan Palfijn Hospital Heliport",51.04837,3.700179,,"EU","BE","BE-VOV","Gent","no",,,,,,
323969,"BE-0010","heliport","Lint Heliport",51.136214,4.47898,36,"EU","BE","BE-VAN","Lint","no","EBLT",,,,,
323973,"BE-0011","heliport","Neerpelt/Tilburgs Heliport",51.240015,5.417956,,"EU","BE","BE-VLI","Neerpelt","no","EBNP",,,,,
324445,"BE-0012","balloonport","Céroux-Mousty Ballon Field",50.660241,4.513276,,"EU","BE","BE-WBR","Céroux-Mousty","no",,,,"http://www.europeanballoon.be/fr/site-decollage-place-ceroux-mousty.html",,
301881,"BER","closed","Berlin Brandenburg Airport (U.C.)",52.351388888900004,13.493888888899999,157,"EU","DE","DE-BR","Berlin","no","EDDB","BER",,"http://preview.berlin-airport.de/en/travellers/","http://en.wikipedia.org/wiki/Berlin_Brandenburg_Airport",
43886,"BG-0001","closed","Livada Airport",42.456284,27.197334,58,"EU","BG","BG-02","Livada","no",,,,,,
43888,"BG-0002","closed","Troyanovo Airport",42.56879,27.148243,546,"EU","BG","BG-02","Troyanovo","no",,,,,,
43889,"BG-0003","small_airport","Trustikovo Airport",42.414634704589844,27.29445457458496,40,"EU","BG","BG-02","Trustikovo","no",,,,,,
43890,"BG-0004","small_airport","Zagortsi Airport",42.403419494628906,27.07024574279785,368,"EU","BG","BG-02","Zagortsi","no",,,,,,
43893,"BG-0005","small_airport","Svishtov Airport",43.61817932128906,25.283662796020508,60,"EU","BG","BG-04","Svishtov","no",,,,,,
43894,"BG-0006","small_airport","Vardim Airport",43.61746597290039,25.52391242980957,60,"EU","BG","BG-04","Svishtov","no",,,,,,
43895,"BG-0007","small_airport","Glozhene Airport",43.679222106933594,23.796245574951172,177,"EU","BG","BG-06","Glozhene","no",,,,,,
43896,"BG-0008","small_airport","Kozloduy Airport",43.76313400268555,23.722030639648438,152,"EU","BG","BG-06","Kozloduy","no",,,,,,
46378,"ZZ-0001","heliport","Sealand Helipad",51.894444,1.4825,40,"EU","GB","GB-ENG","Sealand","no",,,,"http://www.sealandgov.org/","http://en.wikipedia.org/wiki/Principality_of_Sealand","Roughs Tower Helipad"
